Timestamp,Session ID,Filename,Filesize (Bytes),Request Type,Model Used,Input Tokens,Output Tokens,Grounded Searches Performed,Token Cost USD,Fixed Cost USD,Total Estimated Cost USD
2025-05-26T12:12:14.488568+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,Induro__FRP___Artizan__FRP___Symmetrix__FRP_Envue__FRP___Laminated_FRP___Standard_FRP.pdf,6081135,pdf_validation_with_report,gemini-2.0-flash,2887,382,0,0.00044150,0.00000000,0.00044150
2025-05-26T12:27:21.481236+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,pds_extraction_for_Glass-Fiber-Reinforced Plastic Paneling,0,grounded_search_llm,gemini-2.0-flash,773,4710,1,0.00196130,0.03500000,0.03696130
2025-05-26T12:28:45.074654+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,Glasliner_FRP_Panels_-_Technical_Data.pdf,209893,pdf_validation_with_report,gemini-2.0-flash,2987,394,0,0.00045630,0.00000000,0.00045630
2025-05-26T12:28:51.742629+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,Crane_Composites__Inc._Glasbord_FRP_Panels.pdf,30763,pdf_validation_with_report,gemini-2.0-flash,2755,399,0,0.00043510,0.00000000,0.00043510
2025-05-26T12:29:03.152137+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,FRP_Wall___Ceiling_Liner_Panels_-_Glasteel.pdf,47075,pdf_validation_with_report,gemini-2.0-flash,2956,399,0,0.00045520,0.00000000,0.00045520
2025-05-26T12:29:21.393899+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,Glasteel_-_Wall_and_Ceiling_Liner_Panels.pdf,2344789,pdf_validation_with_report,gemini-2.0-flash,3047,399,0,0.00046430,0.00000000,0.00046430
2025-05-26T12:29:34.156021+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,Lascolite__Translucent_Fiberglass_Reinforced_Plastic_Panels.pdf,96127,pdf_validation_with_report,gemini-2.0-flash,2678,407,0,0.00043060,0.00000000,0.00043060
2025-05-26T12:53:48.212541+00:00,13f9c225-0c01-4741-8274-8dffd8cfaa39,SDIA 083323 Overhead Coiling Doors.pdf,323268,standard_llm_extraction,gemini-2.5-flash-preview-04-17,8139,11875,0,0.00826957,0.00000000,0.00826957
2025-05-26T12:54:05.224203+00:00,a94b09e1-672e-4809-ae88-ec06143060a5,Canyon Hills 093013 Ceramic Tiling.pdf,1251955,standard_llm_extraction,gemini-2.5-flash-preview-04-17,8006,14048,0,0.00962970,0.00000000,0.00962970
2025-05-26T12:55:02.802346+00:00,13f9c225-0c01-4741-8274-8dffd8cfaa39,pds_extraction_for_Service Door Assembly,0,grounded_search_llm,gemini-2.0-flash,5412,4260,1,0.00224520,0.03500000,0.03724520
2025-05-26T12:57:24.657172+00:00,ac3db6f7-acbe-4272-bfd1-2c7913c8957a,Mercy Ped Access 042200 Unit Masonry Assemblies.pdf,435088,standard_llm_extraction,gemini-2.5-flash-preview-04-17,6010,3783,0,0.00307238,0.00000000,0.00307238
2025-05-26T12:58:50.474878+00:00,ac3db6f7-acbe-4272-bfd1-2c7913c8957a,pds_extraction_for_Reinforcing Bar Positioners,0,grounded_search_llm,gemini-2.0-flash,779,2853,1,0.00121910,0.03500000,0.03621910
2025-05-26T13:00:52.792864+00:00,ac3db6f7-acbe-4272-bfd1-2c7913c8957a,Blok-Lok_RB_Rebar_Positioner.pdf,354237,pdf_validation_with_report,gemini-2.0-flash,1824,422,0,0.00035120,0.00000000,0.00035120
2025-05-26T13:01:04.610204+00:00,ac3db6f7-acbe-4272-bfd1-2c7913c8957a,BuildSite_-_Bond_Beam_Rebar_Positioner__3420_Submittal_Sheet.pdf,235866,pdf_validation_with_report,gemini-2.0-flash,1865,408,0,0.00034970,0.00000000,0.00034970
2025-05-26T13:01:14.769077+00:00,ac3db6f7-acbe-4272-bfd1-2c7913c8957a,Dur-O-Wal_Masonry_Product_Catalog.pdf,1550996,pdf_validation_with_report,gemini-2.0-flash,2192,339,0,0.00035480,0.00000000,0.00035480
2025-05-26T13:08:24.934154+00:00,ac3db6f7-acbe-4272-bfd1-2c7913c8957a,pds_extraction_for_Mortar Cement,0,grounded_search_llm,gemini-2.0-flash,379,4584,1,0.00187150,0.03500000,0.03687150
2025-05-27T09:38:37.731286+00:00,a8f1984c-7bdb-44de-a351-d1b82df535e3,Scripps Mercy 226113 Compressed Air Piping for Healthcare Facilities.pdf,869004,standard_llm_extraction,gemini-2.5-flash-preview-04-17,3974,1944,0,0.00168990,0.00000000,0.00168990
